,name,neighbourhood,latitude,longitude,room_type
67,Wonderful stay in la Condesa Mexico,Cuauhtémoc,19.4058,-99.1756,Private room
68,Comfy clean Roøm @Cozy apartment,Cuauhtémoc,19.41238,-99.17721999999999,Private room
69,Your Mexican home,Benito Juárez,19.40314,-99.15164,Private room
70,"Nice Studio, 50 mts of terrace.",Benito Juárez,19.38942,-99.1358,Private room
71,Comfy Room 10 mins UAM-Iztapalapa,Iztapalapa,19.35654,-99.0803,Private room
72,Be free on Mexico City. all Combo!!,Cuauhtémoc,19.461370000000002,-99.16074,Private room
73,Explore the City's Historic Center,Cuauhtémoc,19.42577,-99.13721,Private room
74,"Condesa, ideal location apartment",Cuauhtémoc,19.40618,-99.17342,Entire home/apt
75,habitación privada cerca de polanco,Miguel Hidalgo,19.443379999999998,-99.18841,Private room
76,Lit room with balcony new Polanco,Miguel Hidalgo,19.444960000000002,-99.18658,Shared room
77,Studio Chapultepec Mexico City,Miguel Hidalgo,19.41471,-99.18563,Private room
78,Furnished suites exelent location,Cuauhtémoc,19.427410000000002,-99.16022,Entire home/apt
79,Lots of light & views in Condesa MX,Cuauhtémoc,19.41766,-99.1764,Entire home/apt
80,DF51 Apartamento céntrico  y tranquilo,Cuauhtémoc,19.438,-99.162,Entire home/apt
81,Luxury Apt. Plaza Carso Polanco,Miguel Hidalgo,19.4435,-99.20307,Entire home/apt
82,Luxury Room for rent in Mexico City,Miguel Hidalgo,19.38845,-99.24108000000001,Private room
83,"Deluxe 4-BR penthouse, views, historic center",Cuauhtémoc,19.4345,-99.13877,Entire home/apt
84,"Fabulous 3BR penthouse, Views, Historic Center",Cuauhtémoc,19.434929999999998,-99.13883,Entire home/apt
85,Nice big room near airport,Venustiano Carranza,19.43852,-99.08118,Private room
86,Beautiful  bedroom in Mexico City near Sta Fe,Álvaro Obregón,19.38751,-99.22409,Private room
87,Roma Condesa Espectacular Home,Cuauhtémoc,19.41848,-99.17195,Entire home/apt
88,"New Polanco, great location 4 work/short holiday",Miguel Hidalgo,19.44236,-99.20128000000001,Private room
89,Haven in Coyoacan,Coyoacán,19.349970000000003,-99.17214,Entire home/apt
90,LOVELY COMFY BRIGHT FLAT DOWNTOWN!!,Cuauhtémoc,19.42791,-99.15133,Entire home/apt
91,NICE FURNISHED PLACE WELL LOCATED PH with RG,Cuauhtémoc,19.42857,-99.15599,Entire home/apt
92,amazing flat in the heart of CONDES,Cuauhtémoc,19.40735,-99.18078,Entire home/apt
93,céntrico cuarto en el D.F.,Cuauhtémoc,19.4545,-99.15791999999999,Private room
94,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),Cuauhtémoc,19.41131,-99.1769,Entire home/apt
95,"""Frida"" beautiful Private Room ",Cuauhtémoc,19.414839999999998,-99.15613,Private room
96,"Balcony Amazing Views, AC, Personlized Tours 12D",Cuauhtémoc,19.43269,-99.14546999999999,Entire home/apt
97,Great room with nice terrace 15 min to Santa Fe,Álvaro Obregón,19.34365,-99.22525999999999,Private room
98,Apartment close to the Basílica.,Gustavo A. Madero,19.48311,-99.11389,Private room
99,Trendy Condesa nice room for rent..,Cuauhtémoc,19.40716,-99.17694,Private room
100,Room in Xochimilco,Xochimilco,19.26501,-99.1134,Entire home/apt
101,"Stylish 2BR penthouse, views, in Historic Center",Cuauhtémoc,19.43449,-99.13916,Entire home/apt
102,"Spectacular 1BR Penthouse, Views, Historic Center",Cuauhtémoc,19.43627,-99.13763,Entire home/apt
103,"Magnificent 2-BR apartment, views",Cuauhtémoc,19.43611,-99.1386,Entire home/apt
104,90m2 / Mexico City's Hist. downtown,Cuauhtémoc,19.438879999999997,-99.13616999999999,Entire home/apt
105,Apt near Mexico City's downtown,Cuauhtémoc,19.44722,-99.16065,Shared room
106,Mini hostel double bed girls,Miguel Hidalgo,19.44566,-99.18688,Shared room
107,"Sunny comfy flat,great location!",Cuauhtémoc,19.41789,-99.17209,Entire home/apt
108,Lovely studio in colonial San Angel,Álvaro Obregón,19.35323,-99.19343,Entire home/apt
109,"Juan O'Gorman House - Studio, ",Álvaro Obregón,19.35002,-99.19901999999999,Entire home/apt
110,"Big Penthouse, Unmatched View. Great Location.",Miguel Hidalgo,19.4143,-99.18042,Entire home/apt
111,BONITO Y CÉNTRICO,Cuauhtémoc,19.43917,-99.15854,Private room
112,Private room in nice apartment,Miguel Hidalgo,19.44187,-99.18437,Private room
113,1 private room in a nice apartment,Miguel Hidalgo,19.44185,-99.18494,Private room
114,"Comfortable and luminous house, 3 levels, 1-10 prs",Venustiano Carranza,19.41451,-99.11776,Entire home/apt
115,"Room in Mexico city, Safe & Nice",La Magdalena Contreras,19.330479999999998,-99.21342,Private room
116,"Condesa Gem: Space, Beauty, Location & Safety",Cuauhtémoc,19.40897,-99.17146,Entire home/apt
117,Modern Complex in Historic District⭐️,Cuauhtémoc,19.4314,-99.14397,Entire home/apt
118,Simple y Práctico a 2 cuadras de Polanco,Miguel Hidalgo,19.44298,-99.18343,Entire home/apt
119,"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",Miguel Hidalgo,19.44284,-99.18504,Entire home/apt
120,"Apt. Mural 1, ideal couples, near WTC & Condesa",Miguel Hidalgo,19.40186,-99.18319,Entire home/apt
121,"Amazing Suite,ideal couples,near the WTC & Condesa",Miguel Hidalgo,19.4019,-99.18309,Entire home/apt
122,"Historic Centre, Private Tours, Lap Pool, Gym 104",Cuauhtémoc,19.43056,-99.14725,Entire home/apt
123,Suite en Polanco con encanto :D,Miguel Hidalgo,19.43648,-99.18578000000001,Entire home/apt
124,bachelor for rent,Cuauhtémoc,19.4117,-99.17820999999999,Private room
125,Casa Indigo in the Center DF groups until 29 Pers,Cuauhtémoc,19.44371,-99.14442,Entire home/apt
126,HEART OF CONDESA  ART DECO BUILDING,Cuauhtémoc,19.41374,-99.16664,Entire home/apt
127,Best Location at La Roma-Condesa,Cuauhtémoc,19.42397,-99.15571,Entire home/apt
128,Business Suite BEIGE near Reforma,Cuauhtémoc,19.429920000000003,-99.16958000000001,Entire home/apt
129,Business Suite ORANGE near Reforma,Cuauhtémoc,19.43034,-99.16985,Entire home/apt
130,A great place to be. ONE,Cuauhtémoc,19.405739999999998,-99.15776,Private room
131,Beautiful full furnished apartmente,Cuajimalpa de Morelos,19.36561,-99.27728,Entire home/apt
132,"5 rooms common areas, private residence, La casa",Coyoacán,19.34424,-99.16949,Private room
133,In the best location in Mexico,Benito Juárez,19.374979999999997,-99.18241,Private room
134,"Stylish bachelor pad in La Roma, DF",Cuauhtémoc,19.40975,-99.1621,Private room
135,LOVELY LITTLE HOUSE COYOACAN,Coyoacán,19.34604,-99.15938,Entire home/apt
136,"Area Sta.Fe,IberoABC Hospital Rooms",Cuajimalpa de Morelos,19.35213,-99.28565,Private room
137,Apartment 3 blocks from Bellas Arte,Cuauhtémoc,19.43345,-99.13883,Entire home/apt
