,Postcode,State,Municipality,City,Settlement
1491,5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Lomas de Memetla
1492,5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Memetla
1493,5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Ampliación Memetla
1494,5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Ampliación el Yaqui
1495,5348,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Santa Fe Cuajimalpa
1496,5360,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Locaxco
1497,5370,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Las Tinajas
1498,5379,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Lomas de San Pedro
1499,5400,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,El Tianguillo
1500,5410,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,San Lorenzo Acopilco
1501,5410,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,1° de Mayo
1502,5500,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Contadero
1503,5520,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,La Venta
1504,5530,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Abdías García Soto
1505,5600,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,San Mateo Tlaltenango
1506,5610,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Santa Rosa Xochiac
1507,5700,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Cruz Blanca
1508,5710,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Las Maromas
1509,5730,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Xalpa
1510,5750,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,La Pila
1511,5760,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Las Lajas
1512,5780,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Agua Bendita
1513,6000,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 1)
1514,6010,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 2)
1515,6020,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 3)
1516,6030,Ciudad de México,Cuauhtémoc,Ciudad de México,Tabacalera
1517,6040,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 4)
1518,6050,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 5)
1519,6060,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 6)
1520,6070,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 7)
1521,6080,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 8)
1522,6090,Ciudad de México,Cuauhtémoc,Ciudad de México,Centro (Área 9)
1523,6100,Ciudad de México,Cuauhtémoc,Ciudad de México,Hipódromo
1524,6140,Ciudad de México,Cuauhtémoc,Ciudad de México,Condesa
1525,6170,Ciudad de México,Cuauhtémoc,Ciudad de México,Hipódromo Condesa
1526,6200,Ciudad de México,Cuauhtémoc,Ciudad de México,Morelos
1527,6220,Ciudad de México,Cuauhtémoc,Ciudad de México,Peralvillo
1528,6240,Ciudad de México,Cuauhtémoc,Ciudad de México,Valle Gómez
1529,6250,Ciudad de México,Cuauhtémoc,Ciudad de México,Ex-Hipódromo de Peralvillo
1530,6270,Ciudad de México,Cuauhtémoc,Ciudad de México,Maza
1531,6280,Ciudad de México,Cuauhtémoc,Ciudad de México,Felipe Pescador
1532,6300,Ciudad de México,Cuauhtémoc,Ciudad de México,Guerrero
1533,6350,Ciudad de México,Cuauhtémoc,Ciudad de México,Buenavista
1534,6400,Ciudad de México,Cuauhtémoc,Ciudad de México,Santa María la Ribera
1535,6430,Ciudad de México,Cuauhtémoc,Ciudad de México,Santa María Insurgentes
1536,6450,Ciudad de México,Cuauhtémoc,Ciudad de México,Atlampa
1537,6470,Ciudad de México,Cuauhtémoc,Ciudad de México,San Rafael
1538,6500,Ciudad de México,Cuauhtémoc,Ciudad de México,Cuauhtémoc
