,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9235,Balbuena,"Fray Servando Teresa de Mier No. 964, Jardin Balbuena, Venustiano Carranza",DIF,MX,15900,-99.1,19.42,51
9236,Montecitos WTC,"Montecito 38, Colonia Napoles, Delegacion Benito Juarez",DIF,MX,3810,-99.17,19.39,52
9237,Olivar de los Padres,"Av. Toluca #1086, Col.Olivar de los Padres, Alvaro Obregon",DIF,MX,1780,-99.24,19.34,53
9238,Plaza Oriente,"Canal de Tezontle 1520, Iztapalapa",DIF,MX,9020,-99.08,19.38,54
9239,Patio Universidad,"Av. Popocatepetl 540 esquina con av., Universidad 2038, Col. Xoco Delg. Coyoac",DIF,MX,3330,-99.15,19.36,55
9240,Zona Rosa,"Londres #127, Local #38, Plaza La Rosa",DIF,MX,6000,-99.16,19.43,56
9241,Division del Norte,"Av. Division del Norte No. 1746, Col. Portales",DIF,MX,3300,-99.16,19.37,57
9242,Amberes,"1A, Amberes Col. Juarez, Del. Cuauhtemoc",DIF,MX,6600,-99.17,19.43,58
9243,Juarez 32,"Juarez 30 Col Centro, Delegacion Cuauhtemoc",DIF,MX,6000,-98.22,19.05,59
9244,Corp. Coyoacan,"Avenida Coyoacan No. 1622, Local 101, Colonia Del Valle",DIF,MX,3100,-99.17,19.37,60
9245,Eduardo Molina,"Calzada San Juan De Aragon, No. Ext. 516, Col D M Nacional, Municipio O Delegacion",DIF,MX,7090,-99.08,19.47,61
9246,Embassy Suites Hotel,Av. Paseo de La Reforma # 69,DIF,MX,,-99.15,19.43,62
9247,Circuito Ingenieros,"Circuito Ingenieros # 11, Locales A y B,",DIF,MX,53100,-99.23,19.51,63
9248,Pabellon Polanco,"Av. Ejército Nacional 980, local K12, Col. Chapultepec Morales, Central Dist",DIF,MX,11510,-99.21,19.44,64
9249,Plaza La Hacienda,Prol Division del Nte 4344,DIF,MX,14300,-99.13,19.3,65
9250,Torre WTC,Montecitos No 38 N3 Local 03 Col Napoles,DIF,MX,3810,-99.17,19.39,66
9251,Castorena,"Jose Ma Castorena 320, Col. Villas Cuajimalpa",DIF,MX,5000,-99.29,19.36,67
9252,Jolie Place,"Av. De las Fuentes 425, local 6A",DIF,MX,1900,-99.21,19.32,68
9253,Santa Monica -,"Av. Juarez # 15, esq Convento de Acolman, Santa Monica",DIF,MX,55420,-99.23,19.53,69
9254,Parque Tezontle 2,1512 Avenue Canal de Tezontle,DIF,MX,9020,-99.08,19.38,70
9255,Centro Comercial Santa Fe,"Av. Vasco de Quiroga 3800, Local 255, Col. Antigua Mina La Totolapa",DIF,MX,5109,-99.28,19.36,71
9256,Insurgentes Sur Parroquia,"Insurgentes Sur #1405, Col. Insurgentes Mixcoac, Benito Juarez",DIF,MX,3910,-99.18,19.37,72
9257,Satelite Centro Civico,"Circuito Medicos # 45,  Ciudad Satelite",DIF,MX,53100,-99.23,19.51,73
9258,La Salle,47 Benjamin Franklin Hipodromo Condesa,DIF,MX,6140,-99.18,19.41,74
9259,Corporativo Banamex,"Act. Roberto Medellin 800 col Santa Fe, Del. Alvaro Obregon",DIF,MX,1210,-99.26,19.37,75
9260,Alfonso Reyes,"Alfonso Reyes 218 Colonia Hipodromo, Condesa, Delegacion Benito Juarez",DIF,MX,3920,-99.17,19.41,76
