,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9403,Carracci,"Carracci n. 3 esq. Av. Patriotismo, Col. San Juan Mixcoac",DIF,MX,3730,-99.18,19.41,219
9404,Capital Reforma II,"Reforma 250 esq. Niza Col Cuauhtemoc, Reforma 250 esq. Niza Col Cuauhtemoc",DIF,MX,6600,-99.16,19.43,220
9405,Copilco 20,"Enriquez Urena 20 Col Los Reyes Coyoacan, Del. Coyoacan",DIF,MX,4330,-99.16,19.34,221
9406,Plaza Exhibimex,"Calle 10 N-132 San Pedro de los Pinos, Del Alvaro Obregón",DIF,MX,1280,-99.19,19.39,222
9407,Galerias Insurgentes II,"Av Insurgentes sur esquina Parroquia, Parroquia 194, Colonia del Valle.",DIF,MX,3230,-99.18,19.37,223
9408,Forum Buenavista II,"Eje 1 Nte Mosqueta 259 Buenavista, Eje 1 Nte Mosqueta 259 Buenavista",DIF,MX,6350,-99.15,19.45,224
9409,"Shiller, Masaryk 111","Shiller esquina Masaryk 111, Polanco, Shiller esquina Masaryk 111, Polanco",DIF,MX,11550,-99.19,19.43,225
9410,Axomiatla II,"Calz. Las Aguilas 1953 Col. Axomiatla, Del. Alvaro Obregon",DIF,MX,11520,-99.25,19.34,226
9411,Plaza Basica,"Av. Leyes de Reforma esq. Baratillo, Col. Ejidos del Moral Del. Iztapalapa",DIF,MX,9040,-99.09,19.38,227
9412,Reforma 180,"Paseo de la Reforma 180, Reforma esquina Insurgentes",DIF,MX,6600,-99.16,19.43,228
